,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
9670,9670,8861000210,20150408T000000,865000.0,3.0,1.75,1480,8163,1.0,0,0,3,7,1040,440,1953,0,98004,47.63800000000001,-122.206,2170,11124,"[610, 1718, 1726, 1899, 1957, 2113]","[503, 868, 1246, 1280, 2068, 2175]","[565, 579, 708, 754, 1030, 1351]","[1193, 2208, 2377, 3181, 4563, 4591]","[724, 1796, 2107, 2127, 2133, 2267]","[905, 953, 973, 2231, 3504, 3660]","[537, 1256, 2155, 2511, 2712, 2872]","[1701, 2762, 4437, 4874, 5388, 5548]","[2113, 2116, 2262, 2317, 2400, 2454]"
9695,9695,524059250,20140922T000000,1388000.0,4.0,2.5,3450,17400,1.5,0,0,4,9,2180,1270,1964,0,98004,47.5969,-122.206,3770,19530,"[298, 508, 891, 1292, 1298, 1409]","[1351, 1564, 1568, 1573, 1577, 1878]","[1350, 1444, 1464, 1477, 1479, 1482]","[1825, 2016, 2145, 2466, 2706, 3458]","[1389, 1587, 1679, 1696, 1744, 2054]","[2040, 4088, 4543, 4756, 4892, 4914]","[1743, 2402, 2413, 2420, 2473, 2709]","[1186, 3311, 3608, 5149, 6117, 6137]","[1495, 1507, 1713, 1975, 2011, 2085]"
9742,9742,686900030,20150323T000000,999950.0,3.0,2.25,3740,22464,2.0,0,0,5,8,2330,1410,1966,0,98004,47.6354,-122.196,2680,19564,"[1028, 1263, 1273, 1734, 1944, 2349]","[204, 374, 1506, 1754, 1763, 1947]","[359, 374, 561, 787, 991, 1091]","[917, 2684, 2992, 3093, 4092, 4623]","[910, 1148, 1325, 1709, 1774, 1787]","[951, 1707, 1772, 2601, 3718, 3730]","[361, 1075, 1984, 2085, 2396, 2564]","[1811, 3185, 4738, 5159, 5224, 5234]","[1993, 2041, 2133, 2157, 2173, 2187]"
9850,9850,8861000060,20141231T000000,875000.0,3.0,1.0,1160,10732,1.0,0,0,3,7,1160,0,1953,0,98004,47.6391,-122.205,2390,13656,"[752, 1801, 1808, 1814, 1934, 1977]","[547, 821, 1346, 1382, 1949, 2214]","[573, 611, 613, 632, 888, 1317]","[1290, 2271, 2474, 3063, 4431, 4457]","[582, 1844, 2109, 2210, 2224, 2350]","[815, 951, 1026, 2107, 3369, 3518]","[582, 1365, 2276, 2653, 2752, 2770]","[1558, 2901, 4310, 4755, 5416, 5471]","[1997, 1999, 2374, 2428, 2513, 2566]"
10143,10143,682000030,20140703T000000,610000.0,3.0,2.0,2300,13418,1.0,0,0,3,8,1430,870,1955,0,98004,47.6075,-122.2,2140,9380,"[361, 472, 660, 743, 812, 1333]","[311, 350, 438, 618, 727, 734]","[264, 305, 345, 354, 379, 379]","[2060, 2260, 2504, 2610, 3067, 3376]","[363, 485, 818, 860, 1129, 1343]","[3293, 3776, 3881, 3888, 4056, 4515]","[499, 1291, 1300, 1617, 1650, 1809]","[2140, 2847, 4294, 4921, 5323, 5878]","[359, 453, 728, 763, 833, 860]"
10347,10347,650000030,20141017T000000,745000.0,3.0,1.0,1390,9112,1.0,0,0,4,7,1390,0,1951,0,98004,47.6071,-122.197,2290,9112,"[541, 589, 646, 818, 1038, 1273]","[398, 480, 609, 613, 622, 701]","[382, 399, 431, 480, 482, 483]","[1832, 2283, 2321, 2504, 3009, 3383]","[523, 581, 589, 905, 917, 1303]","[3359, 3548, 4008, 4010, 4094, 4287]","[443, 1141, 1413, 1468, 1538, 2018]","[2079, 3063, 4151, 4957, 5115, 5667]","[541, 608, 658, 780, 811, 934]"
10525,10525,8146200070,20150310T000000,1700000.0,5.0,2.75,3810,9360,2.0,0,0,3,10,3810,0,2014,0,98004,47.6039,-122.194,2110,9870,"[162, 829, 944, 1237, 1238, 1323]","[394, 793, 818, 901, 984, 1026]","[355, 361, 783, 789, 818, 849]","[1527, 1932, 2108, 2658, 2708, 3113]","[403, 599, 927, 963, 964, 1316]","[3185, 3246, 3973, 4424, 4425, 4454]","[802, 1259, 1592, 1735, 1832, 2409]","[1733, 3440, 3733, 4999, 5313, 5533]","[525, 951, 1055, 1180, 1208, 1341]"
10582,10582,711000070,20140725T000000,730000.0,3.0,1.75,2040,11294,1.0,0,0,4,7,1340,700,1952,0,98004,47.5923,-122.197,2120,9587,"[382, 563, 1053, 1125, 1320, 1424]","[922, 1557, 2006, 2053, 2117, 2253]","[925, 1540, 1579, 1968, 1994, 2024]","[994, 1366, 1844, 2025, 2116, 3127]","[1242, 1513, 1601, 1964, 2027, 2112]","[2100, 3475, 3697, 4090, 5552, 5565]","[2081, 2426, 2520, 2669, 2798, 2841]","[436, 2774, 4132, 4878, 5718, 5740]","[1756, 2037, 2077, 2416, 2449, 2560]"
10946,10946,2025059204,20140730T000000,1013050.0,4.0,2.5,2480,12688,1.0,0,0,4,9,1820,660,1967,0,98004,47.6344,-122.205,2910,11979,"[356, 1329, 1335, 1780, 2131, 2266]","[309, 834, 1309, 1334, 1774, 1842]","[324, 330, 981, 1055, 1080, 1089]","[792, 2362, 2417, 3304, 4314, 4852]","[1038, 1461, 1701, 1733, 1874, 1935]","[1153, 1200, 1224, 2629, 3883, 4008]","[322, 849, 1754, 2185, 2350, 2665]","[2041, 2561, 4832, 5153, 5276, 5455]","[1855, 1910, 1994, 2048, 2097, 2140]"
10949,10949,8085400055,20150428T000000,1582500.0,4.0,2.5,3980,16304,1.0,0,1,3,10,2480,1500,1968,0,98004,47.639,-122.21,3980,16304,"[673, 1579, 1960, 1966, 2056, 2103]","[810, 986, 1024, 1182, 1973, 2392]","[867, 876, 877, 905, 1172, 1464]","[1417, 1899, 2107, 3414, 4510, 4550]","[876, 2083, 2302, 2354, 2446, 2501]","[587, 657, 1129, 2155, 3471, 3685]","[841, 1447, 2295, 2514, 2768, 2983]","[1764, 2640, 4357, 4765, 5097, 5715]","[2009, 2012, 2432, 2487, 2566, 2624]"
10958,10958,1652500060,20140711T000000,1650000.0,8.0,2.75,4040,20666,1.0,0,0,4,9,2020,2020,1962,0,98004,47.63399999999999,-122.221,3670,20500,"[887, 1263, 1378, 1636, 2166, 2167]","[222, 233, 1504, 2010, 2213, 2249]","[1170, 1184, 1521, 1529, 1869, 1890]","[1219, 1282, 1656, 4388, 5032, 5279]","[1869, 2283, 2430, 2479, 2617, 2650]","[700, 759, 2121, 2938, 4289, 4581]","[1520, 1572, 1864, 2086, 3173, 3230]","[1708, 2723, 4259, 5074, 5392, 5411]","[2309, 2361, 2414, 2478, 2536, 2569]"
10979,10979,1925059200,20150407T000000,1557600.0,4.0,2.5,2700,17853,2.0,0,0,4,9,2700,0,1960,0,98004,47.6463,-122.219,3790,16672,"[870, 1652, 1778, 1792, 1868, 2181]","[1183, 1218, 1473, 1844, 2108, 2278]","[1402, 1421, 1434, 1462, 1466, 1567]","[1385, 1908, 2460, 3885, 3959, 4032]","[1463, 3134, 3315, 3389, 3413, 3451]","[661, 690, 1681, 1688, 3024, 3413]","[1878, 2145, 2472, 2729, 3226, 3249]","[1834, 3016, 3727, 4042, 4572, 5247]","[1471, 1476, 3408, 3410, 3419, 3419]"
11037,11037,3860400060,20140801T000000,1130000.0,4.0,2.5,2660,11200,2.0,0,0,3,9,2660,0,1999,0,98004,47.5894,-122.197,3290,11275,"[428, 564, 1073, 1294, 1320, 1627]","[1167, 1860, 2327, 2373, 2433, 2482]","[1170, 1845, 1886, 2002, 2222, 2264]","[767, 1044, 1567, 2209, 2229, 2834]","[1455, 1736, 1792, 1905, 1926, 2276]","[1923, 3505, 3550, 4128, 5861, 5875]","[2223, 2403, 2502, 2640, 2721, 2824]","[120, 2542, 4383, 4583, 5450, 5769]","[2062, 2354, 2389, 2504, 2738, 2771]"
11059,11059,6669000070,20140805T000000,1000000.0,4.0,1.75,1780,11436,1.0,0,0,5,9,1780,0,1967,0,98004,47.6273,-122.194,2100,12052,"[396, 408, 838, 1304, 1764, 2097]","[778, 881, 904, 1001, 1071, 1072]","[714, 804, 836, 838, 866, 869]","[517, 3210, 3216, 3333, 3415, 3752]","[328, 823, 878, 944, 1036, 1129]","[1861, 2288, 2328, 3511, 3801, 4532]","[664, 966, 1222, 1271, 1538, 1670]","[2715, 2977, 4328, 4843, 5432, 5458]","[1192, 1231, 1323, 1339, 1349, 1375]"
11154,11154,685000160,20150212T000000,770000.0,4.0,1.75,2520,8442,1.0,0,0,4,7,1640,880,1953,0,98004,47.6317,-122.205,2110,8442,"[348, 1080, 1085, 1512, 2095, 2266]","[474, 977, 1380, 1397, 1498, 1549]","[427, 449, 795, 820, 1254, 1282]","[529, 2434, 2463, 3470, 4065, 4603]","[1286, 1323, 1412, 1461, 1613, 1823]","[1350, 1382, 1492, 2930, 4179, 4292]","[464, 557, 1454, 1930, 2130, 2398]","[2325, 2395, 4855, 5132, 5469, 5576]","[1559, 1614, 1697, 1751, 1801, 1844]"
11217,11217,8964800695,20150327T000000,1450000.0,3.0,1.75,2230,13529,1.0,0,0,3,9,2230,0,1949,0,98004,47.6204,-122.217,2230,11900,"[1014, 1176, 1234, 1295, 1511, 1606]","[1005, 1014, 1020, 1044, 1047, 1188]","[724, 748, 984, 1007, 1028, 1046]","[1463, 2169, 2607, 3839, 4337, 4440]","[1330, 1453, 1567, 1570, 1699, 1758]","[2191, 2226, 3021, 4285, 4394, 5489]","[389, 917, 1282, 1896, 2005, 2426]","[1164, 3821, 3876, 4848, 5572, 5880]","[1189, 1219, 1221, 1277, 1329, 1343]"
11267,11267,3536900030,20150209T000000,1600000.0,3.0,2.75,3040,21052,2.0,0,0,4,10,3040,0,1980,0,98004,47.63800000000001,-122.225,2950,21052,"[728, 1028, 1305, 1961, 2571, 2661]","[307, 314, 1830, 2286, 2484, 2748]","[1704, 1719, 1869, 1869, 1931, 2010]","[813, 1005, 2131, 4513, 4985, 5031]","[1954, 2810, 2936, 2949, 3132, 3184]","[530, 619, 2211, 2697, 4042, 4401]","[1854, 2067, 2343, 2622, 3171, 3709]","[2000, 2661, 3968, 4749, 5044, 5362]","[2488, 2492, 2844, 2896, 2950, 3013]"
11284,11284,5078400160,20140605T000000,1800000.0,5.0,4.5,4400,15580,2.0,0,0,3,11,3390,1010,2003,0,98004,47.6232,-122.207,2150,14249,"[812, 819, 960, 1097, 1173, 1445]","[649, 705, 725, 754, 779, 791]","[415, 425, 491, 496, 500, 547]","[689, 2583, 2850, 3442, 3969, 4199]","[704, 894, 1062, 1091, 1292, 1306]","[2069, 2071, 2427, 3878, 4791, 4806]","[514, 530, 1134, 1364, 1590, 1754]","[1932, 3275, 3948, 5473, 5738, 6083]","[719, 772, 834, 897, 954, 990]"
11379,11379,3860900003,20140617T000000,1170000.0,4.0,2.5,2570,6251,2.0,0,0,3,9,2570,0,2000,0,98004,47.593,-122.197,2570,9588,"[368, 617, 1063, 1087, 1246, 1450]","[871, 1486, 1928, 1976, 2041, 2176]","[873, 1467, 1506, 1891, 1918, 1946]","[1057, 1443, 1912, 1985, 2096, 3199]","[1199, 1449, 1528, 1889, 2082, 2098]","[2148, 3461, 3746, 4085, 5478, 5490]","[2003, 2447, 2479, 2713, 2770, 2821]","[514, 2833, 4073, 4949, 5702, 5784]","[1684, 1961, 2002, 2338, 2371, 2483]"
11519,11519,2450000320,20140523T000000,607000.0,3.0,1.0,1230,8114,1.0,0,0,4,7,1230,0,1951,0,98004,47.5822,-122.196,2220,8114,"[830, 1232, 1305, 1415, 1761, 1994]","[1853, 1954, 2092, 2184, 2193, 2450]","[1813, 1816, 1857, 1984, 1985, 2007]","[242, 635, 1071, 2101, 2605, 2731]","[1151, 1730, 2071, 2506, 2603, 2659]","[1755, 3054, 3784, 4255, 6216, 6289]","[1798, 2166, 2189, 2767, 2912, 3202]","[688, 2006, 3908, 4766, 5082, 5345]","[2110, 2821, 3132, 3155, 3186, 3215]"
11522,11522,524059208,20150220T000000,650000.0,4.0,1.75,1900,10454,1.0,0,0,4,7,1180,720,1954,0,98004,47.5933,-122.195,2060,11325,"[517, 553, 922, 1175, 1209, 1360]","[737, 1401, 1915, 1971, 2047, 2145]","[740, 1386, 1428, 1884, 1919, 1923]","[1007, 1478, 1839, 1942, 2014, 3175]","[1056, 1340, 1447, 1905, 2062, 2190]","[2287, 3307, 3653, 3933, 5487, 5492]","[1969, 2365, 2396, 2613, 2683, 2811]","[556, 2764, 4147, 5040, 5555, 5734]","[1603, 1966, 2017, 2319, 2350, 2468]"
11535,11535,8964800890,20150109T000000,3200000.0,3.0,3.25,4560,13363,1.0,0,4,3,11,2760,1800,1995,0,98004,47.6205,-122.214,4060,13362,"[1141, 1167, 1238, 1349, 1386, 1394]","[806, 812, 827, 843, 867, 981]","[606, 632, 768, 786, 841, 852]","[1276, 2324, 2723, 3659, 4163, 4347]","[1107, 1255, 1346, 1448, 1526, 1535]","[2204, 2230, 2905, 4231, 4419, 5294]","[537, 703, 1096, 1720, 1867, 2204]","[1389, 3724, 3803, 5056, 5795, 6069]","[976, 1009, 1017, 1076, 1131, 1148]"
11591,11591,629000510,20140730T000000,1185000.0,4.0,2.75,3020,8622,2.0,0,0,3,9,3020,0,1976,2003,98004,47.5866,-122.201,3060,14303,"[742, 772, 1383, 1452, 1537, 1939]","[1595, 2257, 2354, 2388, 2516, 2525]","[1598, 1647, 2239, 2277, 2331, 2352]","[817, 924, 1144, 2636, 2637, 2716]","[1326, 1512, 1887, 2210, 2300, 2380]","[1514, 3602, 3931, 4480, 6089, 6108]","[2323, 2382, 2584, 2653, 2731, 2740]","[395, 2580, 4178, 4469, 5382, 5856]","[2455, 2625, 2631, 2647, 2779, 3050]"
11663,11663,3860900111,20141202T000000,695000.0,5.0,1.75,1790,9335,2.0,0,0,5,8,1790,0,1952,0,98004,47.5945,-122.201,1840,9612,"[154, 744, 950, 1192, 1227, 1391]","[1045, 1491, 1756, 1790, 1832, 2035]","[1046, 1464, 1493, 1707, 1717, 1724]","[1374, 1650, 1955, 2185, 2356, 3475]","[1394, 1521, 1524, 1664, 1924, 2067]","[2043, 3734, 4084, 4378, 5235, 5252]","[1875, 2425, 2602, 2696, 2756, 2813]","[760, 3156, 3752, 4999, 5888, 6088]","[1671, 1754, 1775, 2174, 2208, 2306]"
11843,11843,2450500060,20140826T000000,1620000.0,4.0,3.25,3820,8114,2.0,0,0,3,10,3820,0,2005,0,98004,47.5837,-122.194,2440,9195,"[619, 1040, 1191, 1215, 1552, 1942]","[1650, 1910, 1999, 2080, 2085, 2425]","[1654, 1722, 1739, 1901, 1911, 1922]","[424, 438, 1284, 2168, 2382, 2507]","[1373, 1856, 1905, 2304, 2456, 2476]","[1925, 2988, 3574, 4059, 6142, 6241]","[1713, 2057, 2117, 2903, 3038, 3067]","[552, 1965, 4129, 4805, 5027, 5326]","[2018, 2631, 2997, 3019, 3058, 3334]"
11998,11998,2068000270,20140805T000000,1400000.0,5.0,3.0,3850,14990,1.0,0,0,4,9,2290,1560,1964,0,98004,47.6425,-122.218,3010,15001,"[902, 1246, 1652, 2098, 2136, 2286]","[803, 842, 1524, 1784, 1864, 2476]","[1306, 1431, 1577, 1580, 1590, 1738]","[1315, 1704, 2074, 3878, 4317, 4381]","[1347, 2786, 2906, 2991, 3151, 3152]","[232, 271, 1594, 1995, 3345, 3683]","[1555, 2072, 2509, 2806, 2826, 3040]","[1948, 2652, 4105, 4442, 4552, 5516]","[1795, 1799, 3001, 3057, 3127, 3188]"
12018,12018,8964800390,20140508T000000,1500000.0,3.0,1.75,2430,12757,1.0,0,2,4,8,1340,1090,1952,0,98004,47.6201,-122.209,2930,12450,"[893, 1033, 1049, 1058, 1086, 1330]","[460, 475, 508, 527, 582, 627]","[399, 409, 477, 477, 515, 539]","[1052, 2643, 2991, 3330, 3844, 4157]","[730, 913, 970, 1158, 1227, 1253]","[2335, 2348, 2802, 4231, 4425, 4944]","[339, 835, 884, 1410, 1739, 1827]","[1764, 3647, 3647, 5425, 5847, 5865]","[609, 648, 671, 733, 790, 814]"
12149,12149,1424200070,20140507T000000,1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,7,1890,420,1950,0,98004,47.6232,-122.21,2840,12744,"[1036, 1042, 1086, 1170, 1239, 1428]","[757, 795, 822, 863, 910, 919]","[284, 305, 637, 666, 669, 669]","[855, 2388, 2688, 3608, 4129, 4361]","[897, 1103, 1200, 1301, 1512, 1513]","[1985, 1996, 2507, 3894, 4753, 5030]","[631, 674, 960, 1457, 1719, 1969]","[1710, 3339, 3999, 5255, 5961, 6101]","[866, 915, 961, 1025, 1084, 1115]"
12174,12174,250000320,20140929T000000,626000.0,4.0,1.75,1350,9293,1.0,0,0,4,7,1350,0,1954,0,98004,47.6335,-122.196,1890,9293,"[994, 1052, 1062, 1523, 2152, 2366]","[398, 407, 1337, 1552, 1565, 1739]","[359, 359, 579, 991, 1191, 1226]","[728, 2816, 3038, 3092, 3900, 4433]","[956, 1111, 1256, 1498, 1565, 1577]","[1162, 1787, 1845, 2806, 3930, 3938]","[378, 895, 1787, 1894, 2207, 2365]","[2022, 3082, 4948, 5013, 5172, 5307]","[1787, 1834, 1927, 1966, 1991, 1999]"
12186,12186,4107100204,20140821T000000,2135000.0,4.0,3.25,3860,17820,1.0,0,4,4,10,2630,1230,1975,0,98004,47.6224,-122.215,4590,23760,"[1177, 1249, 1351, 1391, 1418, 1424]","[976, 983, 1019, 1019, 1064, 1144]","[456, 481, 914, 915, 969, 970]","[1218, 2131, 2509, 3843, 4353, 4570]","[1218, 1427, 1444, 1639, 1668, 1722]","[1984, 2012, 2754, 4037, 4624, 5347]","[656, 856, 1038, 1738, 1912, 2311]","[1326, 3557, 4027, 4919, 5763, 6097]","[1125, 1164, 1186, 1248, 1304, 1326]"
12217,12217,824059324,20150325T000000,1450000.0,4.0,3.5,3720,8301,2.0,0,0,3,10,2880,840,2008,0,98004,47.5885,-122.199,2080,9676,"[571, 578, 1242, 1291, 1414, 1768]","[1337, 2005, 2420, 2460, 2510, 2529]","[1340, 1833, 1988, 2027, 2294, 2328]","[844, 966, 1402, 2388, 2407, 2816]","[1580, 1631, 1746, 1952, 2049, 2345]","[1743, 3576, 3723, 4293, 5918, 5935]","[2292, 2513, 2556, 2592, 2707, 2777]","[192, 2587, 4375, 4431, 5456, 5869]","[2204, 2432, 2457, 2582, 2834, 2868]"
12276,12276,644000102,20150413T000000,650000.0,3.0,1.0,1520,10227,1.0,0,0,4,6,1520,0,1951,0,98004,47.5872,-122.196,2710,10912,"[402, 805, 1082, 1169, 1547, 1577]","[1339, 2073, 2264, 2296, 2359, 2361]","[1343, 2027, 2027, 2061, 2061, 2105]","[579, 797, 1419, 2276, 2314, 2582]","[1565, 1595, 1879, 1983, 2121, 2532]","[1885, 3309, 3556, 4100, 6034, 6117]","[2025, 2328, 2439, 2646, 2762, 2964]","[136, 2322, 4396, 4624, 5207, 5606]","[2278, 2315, 2608, 2644, 2986, 3019]"
12286,12286,727500030,20140715T000000,815000.0,3.0,1.5,1370,8671,1.0,0,0,3,7,1370,0,1955,0,98004,47.6217,-122.198,1580,8671,"[282, 294, 297, 1074, 1508, 1548]","[270, 433, 591, 596, 627, 630]","[114, 148, 151, 179, 215, 274]","[714, 2862, 3259, 3398, 3478, 3887]","[237, 254, 419, 641, 725, 744]","[2473, 2544, 2562, 4072, 4164, 4349]","[628, 681, 1063, 1198, 1326, 1337]","[2589, 3337, 3703, 5052, 5641, 5676]","[503, 540, 632, 660, 689, 732]"
12287,12287,1651800030,20140829T000000,1650000.0,4.0,2.25,2920,20400,1.0,0,0,4,11,2920,0,1966,0,98004,47.6237,-122.228,3080,20400,"[378, 1082, 1215, 1717, 1740, 2005]","[1382, 1419, 1907, 1915, 1918, 1945]","[1028, 1274, 1287, 1874, 1886, 1929]","[1371, 1931, 2082, 4733, 5184, 5224]","[2199, 2354, 2403, 2428, 2591, 2622]","[1952, 2017, 3242, 4197, 4801, 5221]","[966, 1810, 1916, 2382, 2790, 3294]","[473, 3934, 3949, 4581, 4858, 5262]","[2083, 2116, 2121, 2178, 2231, 2245]"
12329,12329,686800070,20140610T000000,895000.0,5.0,2.5,2550,20875,1.0,0,0,4,9,1610,940,1953,0,98004,47.6336,-122.192,2510,21673,"[1107, 1118, 1294, 1552, 2114, 2298]","[415, 688, 1180, 1461, 1597, 1761]","[296, 650, 653, 986, 1026, 1087]","[923, 2588, 3327, 3391, 3793, 4319]","[873, 972, 1217, 1539, 1582, 1650]","[1204, 2058, 2120, 2880, 3698, 3890]","[664, 1102, 1792, 1930, 2096, 2290]","[2032, 3356, 4894, 4973, 5035, 5092]","[1823, 1883, 1890, 1932, 2025, 2056]"
12350,12350,8964800860,20150209T000000,1650000.0,4.0,2.5,2780,11904,1.0,0,1,5,8,1730,1050,1951,0,98004,47.6209,-122.216,3590,13860,"[1088, 1256, 1268, 1277, 1432, 1520]","[959, 968, 977, 997, 1014, 1137]","[635, 660, 924, 941, 990, 1006]","[1369, 2183, 2601, 3807, 4309, 4454]","[1260, 1408, 1498, 1567, 1671, 1688]","[2142, 2173, 2936, 4215, 4453, 5447]","[474, 859, 1189, 1866, 1916, 2358]","[1239, 3740, 3898, 4900, 5656, 5969]","[1132, 1165, 1172, 1230, 1284, 1301]"
12396,12396,824059293,20141028T000000,943500.0,3.0,2.25,2370,10890,2.0,0,0,4,7,2370,0,1980,0,98004,47.5827,-122.197,2370,9514,"[817, 1228, 1286, 1429, 1803, 1908]","[1827, 2046, 2179, 2269, 2277, 2402]","[1831, 1900, 1905, 1946, 2073, 2075]","[304, 675, 1035, 2189, 2626, 2734]","[1132, 1664, 2057, 2477, 2625, 2678]","[1686, 3144, 3825, 4308, 6185, 6364]","[1886, 2250, 2278, 2687, 2838, 3147]","[633, 2098, 3919, 4857, 4995, 5438]","[2197, 2782, 3090, 3118, 3130, 3210]"
12424,12424,9808700370,20140623T000000,899000.0,3.0,1.0,1480,6978,2.0,0,0,4,8,1480,0,1949,1985,98004,47.6497,-122.217,2660,13062,"[1179, 1392, 1536, 1942, 1948, 2033]","[1092, 1585, 1622, 1961, 2028, 2201]","[1036, 1053, 1072, 1076, 1179, 1390]","[1717, 2284, 2713, 3553, 3628, 3714]","[1465, 3045, 3118, 3325, 3500, 3600]","[1030, 1074, 1307, 1640, 2628, 3041]","[1739, 2062, 2339, 2746, 2956, 3274]","[1598, 3321, 3422, 3641, 4828, 5226]","[1083, 1087, 3005, 3007, 3014, 3037]"
12509,12509,249000180,20141201T000000,1890000.0,4.0,4.25,4285,9345,2.0,0,0,3,10,4285,0,2013,0,98004,47.6332,-122.199,1570,8994,"[768, 1041, 1050, 1515, 2231, 2288]","[247, 534, 1467, 1531, 1653, 1678]","[168, 183, 805, 1001, 1179, 1220]","[613, 2831, 2869, 3011, 3971, 4507]","[1051, 1105, 1467, 1481, 1513, 1586]","[1204, 1604, 1657, 2796, 3968, 4014]","[213, 757, 1683, 1976, 2291, 2335]","[2069, 2868, 4966, 4983, 5375, 5444]","[1715, 1766, 1857, 1901, 1942, 1986]"
12521,12521,629000730,20140528T000000,745000.0,3.0,1.75,1490,9800,1.0,0,0,4,7,1140,350,1947,0,98004,47.584,-122.198,2310,9800,"[746, 1068, 1328, 1395, 1745, 1816]","[1725, 2181, 2293, 2377, 2383, 2395]","[1728, 1860, 2015, 2026, 2192, 2203]","[464, 701, 1062, 2351, 2597, 2673]","[1190, 1620, 1973, 2369, 2503, 2671]","[1636, 3272, 3830, 4335, 6207, 6403]","[2003, 2355, 2403, 2602, 2769, 3006]","[501, 2235, 4011, 4833, 5016, 5584]","[2312, 2659, 2937, 2963, 3032, 3299]"
12536,12536,644200065,20150306T000000,1030000.0,4.0,2.5,2620,11200,1.0,0,0,4,8,1770,850,1962,0,98004,47.5876,-122.193,2360,11200,"[198, 862, 916, 954, 1347, 1677]","[1213, 1985, 2124, 2127, 2176, 2180]","[1217, 1861, 1904, 1977, 2024, 2032]","[407, 874, 1608, 2062, 2125, 2530]","[1436, 1737, 1867, 2036, 2103, 2440]","[2110, 3145, 3330, 3871, 5855, 6095]","[1863, 2144, 2280, 2610, 2940, 2990]","[272, 2188, 4541, 4726, 5117, 5415]","[2143, 2192, 2616, 2664, 2967, 2998]"
12648,12648,7490000040,20140718T000000,2535000.0,5.0,3.25,3730,10626,1.0,0,4,4,10,3730,0,1963,0,98004,47.624,-122.221,4180,19110,"[799, 1328, 1351, 1505, 1726, 1786]","[1298, 1325, 1454, 1455, 1480, 1492]","[754, 768, 1396, 1397, 1451, 1452]","[1566, 1674, 2110, 4311, 4816, 4935]","[1699, 1902, 1921, 2067, 2117, 2178]","[1797, 1844, 2861, 3976, 4792, 5314]","[759, 1337, 1396, 1930, 2372, 2788]","[937, 3608, 4364, 4438, 5371, 5751]","[1607, 1645, 1663, 1723, 1779, 1798]"
12651,12651,1424200035,20140523T000000,945000.0,4.0,2.0,2840,13367,1.0,0,0,3,7,1420,1420,1952,0,98004,47.6237,-122.21,2840,12744,"[1030, 1033, 1039, 1189, 1290, 1484]","[802, 843, 870, 914, 952, 954]","[232, 252, 675, 699, 702, 711]","[823, 2360, 2648, 3645, 4168, 4323]","[924, 1123, 1242, 1320, 1502, 1534]","[1932, 1943, 2456, 3839, 4808, 5024]","[642, 676, 999, 1408, 1763, 1985]","[1720, 3287, 4053, 5241, 5967, 6046]","[905, 955, 1005, 1068, 1127, 1159]"
12696,12696,2344300220,20140714T000000,1100000.0,4.0,3.5,2210,7597,1.0,0,0,4,9,1550,660,1977,2006,98004,47.5816,-122.197,2370,8811,"[923, 1326, 1346, 1515, 1859, 1973]","[1941, 1992, 2149, 2245, 2256, 2357]","[1867, 1871, 1945, 1964, 2030, 2039]","[187, 734, 974, 2090, 2705, 2829]","[1051, 1649, 2165, 2593, 2681, 2738]","[1676, 3098, 3882, 4348, 6116, 6364]","[1853, 2230, 2237, 2701, 2838, 3270]","[755, 2042, 3813, 4763, 5099, 5367]","[2167, 2901, 3155, 3203, 3211, 3238]"
12713,12713,853200040,20150428T000000,2408000.0,5.0,2.5,4600,23250,1.5,0,2,3,9,3600,1000,1918,2003,98004,47.62300000000001,-122.218,5500,20066,"[971, 1286, 1357, 1528, 1549, 1635]","[1203, 1205, 1234, 1242, 1275, 1372]","[585, 605, 1146, 1148, 1203, 1204]","[1390, 1916, 2324, 4064, 4570, 4730]","[1452, 1653, 1678, 1844, 1873, 1934]","[1900, 1937, 2816, 4021, 4680, 5346]","[645, 1086, 1214, 1836, 2127, 2545]","[1117, 3594, 4171, 4685, 5560, 5913]","[1356, 1395, 1412, 1473, 1529, 1549]"
12826,12826,3025059072,20140725T000000,1749000.0,4.0,2.5,3910,22710,1.5,0,0,3,8,3910,0,1908,2003,98004,47.6295,-122.217,2920,16544,"[695, 1404, 1675, 1676, 1846, 1846]","[804, 815, 1346, 1632, 1667, 1696]","[599, 610, 1329, 1346, 1504, 1520]","[1222, 1610, 1825, 4355, 4467, 4993]","[1725, 1890, 1977, 2048, 2072, 2083]","[1183, 1215, 2204, 3304, 4637, 4863]","[1098, 1350, 1371, 1505, 2593, 2719]","[1517, 2931, 4601, 4821, 5487, 5845]","[1734, 1785, 1835, 1899, 1958, 1989]"
